id,time,light,sound
2,12-5-17:25:48:1,11,12
3,12-5-17:25:48:2,12,9
4,12-5-17:25:48:3,11,11
5,12-5-17:25:48:4,11,8
6,12-5-17:25:48:5,12,11
7,12-5-17:25:48:6,12,18
9,12-5-17:25:49:1,12,11
10,12-5-17:25:49:2,12,10
11,12-5-17:25:49:3,11,9
12,12-5-17:25:49:4,11,6
13,12-5-17:25:49:5,12,9
14,12-5-17:25:49:6,12,16
8,12-5-17:25:49:7,11,8
16,12-5-17:25:49:8,13,11
17,12-5-17:25:49:9,11,11
19,12-5-17:25:50:1,12,29
20,12-5-17:25:50:2,12,26
21,12-5-17:25:50:3,12,11
22,12-5-17:25:50:4,12,30
23,12-5-17:25:50:5,11,15
24,12-5-17:25:50:6,12,11
25,12-5-17:25:50:7,12,9
26,12-5-17:25:50:8,12,12
27,12-5-17:25:50:9,12,8
18,12-5-17:25:50:10,11,10
29,12-5-17:25:51:1,11,15
30,12-5-17:25:51:2,12,18
31,12-5-17:25:51:3,11,10
32,12-5-17:25:51:4,11,9
33,12-5-17:25:51:5,12,9
34,12-5-17:25:51:6,12,9
35,12-5-17:25:51:7,11,14
36,12-5-17:25:51:8,11,6
37,12-5-17:25:51:9,11,12
28,12-5-17:25:51:10,11,24
39,12-5-17:25:52:1,11,8
40,12-5-17:25:52:2,11,12
41,12-5-17:25:52:3,12,10
42,12-5-17:25:52:4,12,12
43,12-5-17:25:52:5,12,11
44,12-5-17:25:52:6,11,16
45,12-5-17:25:52:7,11,14
46,12-5-17:25:52:8,11,8
47,12-5-17:25:52:9,11,10
38,12-5-17:25:52:10,12,11
49,12-5-17:25:53:1,12,13
50,12-5-17:25:53:2,11,13
51,12-5-17:25:53:3,12,10
52,12-5-17:25:53:4,11,10
53,12-5-17:25:53:5,11,16
54,12-5-17:25:53:6,12,7
55,12-5-17:25:53:7,11,9
56,12-5-17:25:53:8,12,9
57,12-5-17:25:53:9,11,15
48,12-5-17:25:53:10,12,13
59,12-5-17:25:54:1,11,11
60,12-5-17:25:54:2,11,12
61,12-5-17:25:54:3,11,10
62,12-5-17:25:54:4,12,10
63,12-5-17:25:54:5,11,9
64,12-5-17:25:54:6,12,10
65,12-5-17:25:54:7,12,10
66,12-5-17:25:54:8,11,17
67,12-5-17:25:54:9,11,16
58,12-5-17:25:54:10,11,35
69,12-5-17:25:55:1,11,11
70,12-5-17:25:55:2,11,8
71,12-5-17:25:55:3,11,8
72,12-5-17:25:55:4,12,12
73,12-5-17:25:55:5,11,14
74,12-5-17:25:55:6,11,9
75,12-5-17:25:55:7,10,14
76,12-5-17:25:55:8,11,9
77,12-5-17:25:55:9,12,23
68,12-5-17:25:55:10,11,11
79,12-5-17:25:56:1,11,8
80,12-5-17:25:56:2,11,11
81,12-5-17:25:56:3,11,15
82,12-5-17:25:56:4,12,8
83,12-5-17:25:56:5,11,10
84,12-5-17:25:56:6,12,10
85,12-5-17:25:56:7,11,17
86,12-5-17:25:56:8,11,13
87,12-5-17:25:56:9,11,11
78,12-5-17:25:56:10,12,9
89,12-5-17:25:57:1,11,11
90,12-5-17:25:57:2,11,20
91,12-5-17:25:57:3,11,8
92,12-5-17:25:57:4,12,18
93,12-5-17:25:57:5,11,10
94,12-5-17:25:57:6,11,9
95,12-5-17:25:57:7,11,10
96,12-5-17:25:57:8,11,13
97,12-5-17:25:57:9,11,10
88,12-5-17:25:57:10,12,9
99,12-5-17:25:58:1,11,9
100,12-5-17:25:58:2,11,14
101,12-5-17:25:58:3,11,7
102,12-5-17:25:58:4,11,11
103,12-5-17:25:58:5,11,8
104,12-5-17:25:58:6,11,9
105,12-5-17:25:58:7,11,26
106,12-5-17:25:58:8,11,14
107,12-5-17:25:58:9,11,22
98,12-5-17:25:58:10,11,9
109,12-5-17:25:59:1,12,19
110,12-5-17:25:59:2,12,21
111,12-5-17:25:59:3,11,16
112,12-5-17:25:59:4,11,21
113,12-5-17:25:59:5,12,10
114,12-5-17:25:59:6,12,22
115,12-5-17:25:59:7,11,8
116,12-5-17:25:59:8,12,9
117,12-5-17:25:59:9,11,11
108,12-5-17:25:59:10,11,13
119,12-5-17:26:0:1,11,9
120,12-5-17:26:0:2,11,8
121,12-5-17:26:0:3,11,16
122,12-5-17:26:0:4,11,14
123,12-5-17:26:0:5,11,10
124,12-5-17:26:0:6,11,13
125,12-5-17:26:0:7,11,17
126,12-5-17:26:0:8,11,9
127,12-5-17:26:0:9,12,10
118,12-5-17:26:0:10,11,10
129,12-5-17:26:1:1,11,12
130,12-5-17:26:1:2,10,11
131,12-5-17:26:1:3,11,7
132,12-5-17:26:1:4,11,22
133,12-5-17:26:1:5,11,8
134,12-5-17:26:1:6,11,10
135,12-5-17:26:1:7,12,9
136,12-5-17:26:1:8,11,10
137,12-5-17:26:1:9,11,15
128,12-5-17:26:1:10,11,8
139,12-5-17:26:2:1,11,11
140,12-5-17:26:2:2,11,10
141,12-5-17:26:2:3,11,18
142,12-5-17:26:2:4,11,9
143,12-5-17:26:2:5,11,12
144,12-5-17:26:2:6,11,7
145,12-5-17:26:2:7,10,13
146,12-5-17:26:2:8,12,12
147,12-5-17:26:2:9,11,9
138,12-5-17:26:2:10,11,10
149,12-5-17:26:3:1,11,14
150,12-5-17:26:3:2,12,9
151,12-5-17:26:3:3,11,9
152,12-5-17:26:3:4,11,9
153,12-5-17:26:3:5,11,11
154,12-5-17:26:3:6,12,8
155,12-5-17:26:3:7,11,10
156,12-5-17:26:3:8,12,11
157,12-5-17:26:3:9,11,7
148,12-5-17:26:3:10,11,14
159,12-5-17:26:4:1,11,11
160,12-5-17:26:4:2,11,23
161,12-5-17:26:4:3,11,10
162,12-5-17:26:4:4,11,9
163,12-5-17:26:4:5,10,14
164,12-5-17:26:4:6,11,13
165,12-5-17:26:4:7,11,10
166,12-5-17:26:4:8,11,12
167,12-5-17:26:4:9,11,8
158,12-5-17:26:4:10,11,12
169,12-5-17:26:5:1,12,18
170,12-5-17:26:5:2,11,15
171,12-5-17:26:5:3,11,11
172,12-5-17:26:5:4,11,23
173,12-5-17:26:5:5,12,15
174,12-5-17:26:5:6,11,31
175,12-5-17:26:5:7,11,10
176,12-5-17:26:5:8,10,12
177,12-5-17:26:5:9,11,10
168,12-5-17:26:5:10,11,12
179,12-5-17:26:6:1,12,8
180,12-5-17:26:6:2,11,9
181,12-5-17:26:6:3,11,9
182,12-5-17:26:6:4,11,10
183,12-5-17:26:6:5,11,11
184,12-5-17:26:6:6,11,12
185,12-5-17:26:6:7,11,23
186,12-5-17:26:6:8,11,16
187,12-5-17:26:6:9,11,18
178,12-5-17:26:6:10,11,11
189,12-5-17:26:7:1,11,9
190,12-5-17:26:7:2,11,15
191,12-5-17:26:7:3,11,8
192,12-5-17:26:7:4,11,14
193,12-5-17:26:7:5,11,23
194,12-5-17:26:7:6,11,20
195,12-5-17:26:7:7,11,8
196,12-5-17:26:7:8,11,9
197,12-5-17:26:7:9,11,23
188,12-5-17:26:7:10,10,15
199,12-5-17:26:8:1,11,17
200,12-5-17:26:8:2,11,8
201,12-5-17:26:8:3,12,29
202,12-5-17:26:8:4,11,24
203,12-5-17:26:8:5,12,10
204,12-5-17:26:8:6,11,10
205,12-5-17:26:8:7,11,15
206,12-5-17:26:8:8,11,21
207,12-5-17:26:8:9,11,26
198,12-5-17:26:8:10,11,8
209,12-5-17:26:9:1,11,11
210,12-5-17:26:9:2,11,11
211,12-5-17:26:9:3,11,11
212,12-5-17:26:9:4,11,11
213,12-5-17:26:9:5,12,8
214,12-5-17:26:9:6,12,8
215,12-5-17:26:9:7,11,22
216,12-5-17:26:9:8,11,22
217,12-5-17:26:9:9,11,10
208,12-5-17:26:9:10,11,10
219,12-5-17:26:10:1,11,11
220,12-5-17:26:10:2,11,10
221,12-5-17:26:10:3,11,10
222,12-5-17:26:10:4,11,10
223,12-5-17:26:10:5,11,9
