id,time,light,sound
2,12-5-17:24:32:1,20,29
3,12-5-17:24:32:2,21,30
4,12-5-17:24:32:3,20,15
5,12-5-17:24:32:4,19,21
6,12-5-17:24:32:5,21,26
7,12-5-17:24:32:6,24,17
8,12-5-17:24:32:7,27,20
10,12-5-17:24:33:1,27,16
11,12-5-17:24:33:2,26,17
12,12-5-17:24:33:3,27,19
13,12-5-17:24:33:4,28,12
14,12-5-17:24:33:5,29,12
15,12-5-17:24:33:6,29,16
16,12-5-17:24:33:7,30,18
9,12-5-17:24:33:8,29,24
18,12-5-17:24:33:9,31,13
20,12-5-17:24:34:1,30,12
21,12-5-17:24:34:2,31,15
22,12-5-17:24:34:3,29,16
23,12-5-17:24:34:4,28,15
24,12-5-17:24:34:5,29,18
25,12-5-17:24:34:6,30,12
26,12-5-17:24:34:7,29,15
27,12-5-17:24:34:8,29,15
28,12-5-17:24:34:9,31,13
19,12-5-17:24:34:10,30,24
30,12-5-17:24:35:1,32,13
31,12-5-17:24:35:2,32,15
32,12-5-17:24:35:3,32,14
33,12-5-17:24:35:4,30,11
34,12-5-17:24:35:5,29,12
35,12-5-17:24:35:6,31,15
36,12-5-17:24:35:7,30,16
37,12-5-17:24:35:8,32,18
38,12-5-17:24:35:9,33,13
29,12-5-17:24:35:10,31,17
40,12-5-17:24:36:1,34,16
41,12-5-17:24:36:2,34,16
42,12-5-17:24:36:3,34,13
43,12-5-17:24:36:4,34,25
44,12-5-17:24:36:5,34,14
45,12-5-17:24:36:6,34,18
46,12-5-17:24:36:7,33,15
47,12-5-17:24:36:8,33,17
48,12-5-17:24:36:9,34,23
39,12-5-17:24:36:10,34,14
50,12-5-17:24:37:1,34,20
51,12-5-17:24:37:2,35,29
52,12-5-17:24:37:3,33,21
53,12-5-17:24:37:4,35,48
54,12-5-17:24:37:5,34,21
55,12-5-17:24:37:6,34,27
56,12-5-17:24:37:7,34,32
57,12-5-17:24:37:8,34,36
58,12-5-17:24:37:9,34,44
49,12-5-17:24:37:10,34,19
60,12-5-17:24:38:1,34,41
61,12-5-17:24:38:2,34,40
62,12-5-17:24:38:3,34,47
63,12-5-17:24:38:4,34,45
64,12-5-17:24:38:5,34,36
65,12-5-17:24:38:6,34,35
66,12-5-17:24:38:7,34,41
67,12-5-17:24:38:8,34,41
68,12-5-17:24:38:9,33,54
59,12-5-17:24:38:10,34,35
70,12-5-17:24:39:1,34,23
71,12-5-17:24:39:2,34,29
72,12-5-17:24:39:3,34,52
73,12-5-17:24:39:4,33,31
74,12-5-17:24:39:5,34,19
75,12-5-17:24:39:6,34,23
76,12-5-17:24:39:7,34,28
77,12-5-17:24:39:8,34,26
78,12-5-17:24:39:9,34,20
69,12-5-17:24:39:10,34,48
80,12-5-17:24:40:1,33,23
81,12-5-17:24:40:2,33,16
82,12-5-17:24:40:3,34,22
83,12-5-17:24:40:4,35,31
84,12-5-17:24:40:5,33,17
85,12-5-17:24:40:6,33,20
86,12-5-17:24:40:7,34,16
87,12-5-17:24:40:8,34,23
88,12-5-17:24:40:9,35,14
79,12-5-17:24:40:10,35,22
90,12-5-17:24:41:1,34,18
91,12-5-17:24:41:2,33,15
92,12-5-17:24:41:3,33,12
93,12-5-17:24:41:4,33,14
94,12-5-17:24:41:5,33,20
95,12-5-17:24:41:6,33,28
96,12-5-17:24:41:7,33,18
97,12-5-17:24:41:8,33,23
98,12-5-17:24:41:9,32,22
89,12-5-17:24:41:10,34,12
100,12-5-17:24:42:1,33,19
101,12-5-17:24:42:2,33,19
102,12-5-17:24:42:3,34,29
103,12-5-17:24:42:4,32,15
104,12-5-17:24:42:5,33,12
105,12-5-17:24:42:6,33,13
106,12-5-17:24:42:7,33,17
107,12-5-17:24:42:8,33,15
108,12-5-17:24:42:9,32,13
99,12-5-17:24:42:10,33,19
110,12-5-17:24:43:1,34,13
111,12-5-17:24:43:2,35,14
112,12-5-17:24:43:3,35,17
113,12-5-17:24:43:4,34,12
114,12-5-17:24:43:5,35,13
115,12-5-17:24:43:6,36,17
116,12-5-17:24:43:7,36,16
117,12-5-17:24:43:8,35,13
118,12-5-17:24:43:9,34,11
109,12-5-17:24:43:10,34,17
120,12-5-17:24:44:1,37,25
121,12-5-17:24:44:2,35,15
122,12-5-17:24:44:3,35,14
123,12-5-17:24:44:4,36,28
124,12-5-17:24:44:5,37,16
125,12-5-17:24:44:6,37,12
126,12-5-17:24:44:7,37,14
127,12-5-17:24:44:8,37,14
128,12-5-17:24:44:9,37,21
119,12-5-17:24:44:10,36,11
130,12-5-17:24:45:1,37,17
131,12-5-17:24:45:2,37,22
132,12-5-17:24:45:3,37,15
133,12-5-17:24:45:4,37,18
134,12-5-17:24:45:5,36,14
135,12-5-17:24:45:6,36,18
136,12-5-17:24:45:7,37,14
137,12-5-17:24:45:8,37,26
138,12-5-17:24:45:9,37,37
129,12-5-17:24:45:10,36,16
140,12-5-17:24:46:1,35,21
141,12-5-17:24:46:2,35,13
142,12-5-17:24:46:3,35,18
143,12-5-17:24:46:4,35,12
144,12-5-17:24:46:5,36,44
145,12-5-17:24:46:6,35,15
146,12-5-17:24:46:7,34,12
147,12-5-17:24:46:8,34,23
148,12-5-17:24:46:9,36,27
139,12-5-17:24:46:10,37,24
150,12-5-17:24:47:1,34,12
151,12-5-17:24:47:2,34,30
152,12-5-17:24:47:3,34,23
153,12-5-17:24:47:4,35,21
154,12-5-17:24:47:5,35,18
155,12-5-17:24:47:6,35,18
156,12-5-17:24:47:7,36,15
157,12-5-17:24:47:8,34,20
158,12-5-17:24:47:9,36,19
149,12-5-17:24:47:10,35,30
160,12-5-17:24:48:1,35,16
161,12-5-17:24:48:2,36,13
162,12-5-17:24:48:3,35,14
163,12-5-17:24:48:4,36,10
164,12-5-17:24:48:5,35,19
165,12-5-17:24:48:6,35,16
166,12-5-17:24:48:7,34,12
167,12-5-17:24:48:8,35,11
168,12-5-17:24:48:9,35,10
159,12-5-17:24:48:10,36,16
170,12-5-17:24:49:1,35,13
171,12-5-17:24:49:2,35,15
172,12-5-17:24:49:3,35,12
173,12-5-17:24:49:4,35,15
174,12-5-17:24:49:5,35,15
175,12-5-17:24:49:6,36,25
176,12-5-17:24:49:7,35,28
177,12-5-17:24:49:8,34,16
178,12-5-17:24:49:9,35,13
169,12-5-17:24:49:10,35,15
180,12-5-17:24:50:1,35,10
181,12-5-17:24:50:2,35,21
182,12-5-17:24:50:3,36,18
183,12-5-17:24:50:4,35,28
184,12-5-17:24:50:5,36,20
185,12-5-17:24:50:6,36,38
186,12-5-17:24:50:7,36,47
187,12-5-17:24:50:8,36,25
188,12-5-17:24:50:9,35,22
179,12-5-17:24:50:10,35,15
190,12-5-17:24:51:1,35,18
191,12-5-17:24:51:2,36,27
192,12-5-17:24:51:3,35,26
193,12-5-17:24:51:4,35,18
194,12-5-17:24:51:5,36,30
195,12-5-17:24:51:6,35,18
196,12-5-17:24:51:7,35,18
197,12-5-17:24:51:8,35,21
198,12-5-17:24:51:9,36,26
189,12-5-17:24:51:10,35,15
200,12-5-17:24:52:1,36,24
201,12-5-17:24:52:2,35,20
202,12-5-17:24:52:3,36,23
203,12-5-17:24:52:4,36,19
204,12-5-17:24:52:5,36,31
205,12-5-17:24:52:6,35,20
206,12-5-17:24:52:7,36,43
207,12-5-17:24:52:8,36,26
208,12-5-17:24:52:9,35,29
199,12-5-17:24:52:10,35,18
210,12-5-17:24:53:1,35,27
211,12-5-17:24:53:2,35,27
212,12-5-17:24:53:3,34,28
213,12-5-17:24:53:4,35,16
214,12-5-17:24:53:5,35,15
215,12-5-17:24:53:6,35,15
216,12-5-17:24:53:7,36,29
217,12-5-17:24:53:8,34,24
218,12-5-17:24:53:9,35,26
209,12-5-17:24:53:10,35,30
220,12-5-17:24:54:1,35,27
221,12-5-17:24:54:2,35,27
222,12-5-17:24:54:3,34,25
223,12-5-17:24:54:4,34,27
224,12-5-17:24:54:5,34,29
225,12-5-17:24:54:6,35,35
226,12-5-17:24:54:7,34,32
