id,time,light,sound
2,12-5-17:26:36:1,28,11
3,12-5-17:26:36:2,28,11
4,12-5-17:26:36:3,28,11
5,12-5-17:26:36:4,28,11
6,12-5-17:26:36:5,28,11
7,12-5-17:26:36:6,28,11
8,12-5-17:26:36:7,28,11
10,12-5-17:26:37:1,28,11
11,12-5-17:26:37:2,28,11
12,12-5-17:26:37:3,28,11
13,12-5-17:26:37:4,29,14
14,12-5-17:26:37:5,27,12
15,12-5-17:26:37:6,27,12
16,12-5-17:26:37:7,28,13
9,12-5-17:26:37:8,28,11
18,12-5-17:26:37:9,28,13
20,12-5-17:26:38:1,28,9
21,12-5-17:26:38:2,28,9
22,12-5-17:26:38:3,28,11
23,12-5-17:26:38:4,29,11
24,12-5-17:26:38:5,28,16
25,12-5-17:26:38:6,28,12
26,12-5-17:26:38:7,28,11
27,12-5-17:26:38:8,28,9
28,12-5-17:26:38:9,28,12
19,12-5-17:26:38:10,27,11
30,12-5-17:26:39:1,27,9
31,12-5-17:26:39:2,28,15
32,12-5-17:26:39:3,27,14
33,12-5-17:26:39:4,28,11
34,12-5-17:26:39:5,28,10
35,12-5-17:26:39:6,28,22
36,12-5-17:26:39:7,27,16
37,12-5-17:26:39:8,28,11
38,12-5-17:26:39:9,28,15
29,12-5-17:26:39:10,28,23
40,12-5-17:26:40:1,27,11
41,12-5-17:26:40:2,28,10
42,12-5-17:26:40:3,28,19
43,12-5-17:26:40:4,28,17
44,12-5-17:26:40:5,27,14
45,12-5-17:26:40:6,28,10
46,12-5-17:26:40:7,28,10
47,12-5-17:26:40:8,28,9
48,12-5-17:26:40:9,28,10
39,12-5-17:26:40:10,28,16
50,12-5-17:26:41:1,28,11
51,12-5-17:26:41:2,27,15
52,12-5-17:26:41:3,29,13
53,12-5-17:26:41:4,29,22
54,12-5-17:26:41:5,28,16
55,12-5-17:26:41:6,28,10
56,12-5-17:26:41:7,28,10
57,12-5-17:26:41:8,27,14
58,12-5-17:26:41:9,28,15
49,12-5-17:26:41:10,28,8
60,12-5-17:26:42:1,30,11
61,12-5-17:26:42:2,27,10
62,12-5-17:26:42:3,28,9
63,12-5-17:26:42:4,29,11
64,12-5-17:26:42:5,27,11
65,12-5-17:26:42:6,28,19
66,12-5-17:26:42:7,28,11
67,12-5-17:26:42:8,28,11
68,12-5-17:26:42:9,28,13
59,12-5-17:26:42:10,28,12
70,12-5-17:26:43:1,28,14
71,12-5-17:26:43:2,28,12
72,12-5-17:26:43:3,29,12
73,12-5-17:26:43:4,27,11
74,12-5-17:26:43:5,28,11
75,12-5-17:26:43:6,28,9
76,12-5-17:26:43:7,28,24
77,12-5-17:26:43:8,28,12
78,12-5-17:26:43:9,29,13
69,12-5-17:26:43:10,27,18
80,12-5-17:26:44:1,28,10
81,12-5-17:26:44:2,28,11
82,12-5-17:26:44:3,29,14
83,12-5-17:26:44:4,27,8
84,12-5-17:26:44:5,28,11
85,12-5-17:26:44:6,29,9
86,12-5-17:26:44:7,27,10
87,12-5-17:26:44:8,28,21
