id,time,light,sound
2,12-5-17:18:43:1,85,18
4,12-5-17:18:44:1,85,71
3,12-5-17:18:44:2,85,33
6,12-5-17:18:44:3,87,224
7,12-5-17:18:44:4,87,82
8,12-5-17:18:44:5,87,129
9,12-5-17:18:44:6,88,357
10,12-5-17:18:44:7,88,124
11,12-5-17:18:44:8,88,58
12,12-5-17:18:44:9,88,22
14,12-5-17:18:45:1,89,227
15,12-5-17:18:45:2,89,93
16,12-5-17:18:45:3,89,69
17,12-5-17:18:45:4,89,170
18,12-5-17:18:45:5,88,62
19,12-5-17:18:45:6,89,34
20,12-5-17:18:45:7,89,37
21,12-5-17:18:45:8,89,20
22,12-5-17:18:45:9,89,16
13,12-5-17:18:45:10,88,140
24,12-5-17:18:46:1,89,18
25,12-5-17:18:46:2,89,18
26,12-5-17:18:46:3,89,90
27,12-5-17:18:46:4,89,30
28,12-5-17:18:46:5,89,11
29,12-5-17:18:46:6,90,16
30,12-5-17:18:46:7,90,13
31,12-5-17:18:46:8,90,18
32,12-5-17:18:46:9,89,8
23,12-5-17:18:46:10,90,58
34,12-5-17:18:47:1,89,15
35,12-5-17:18:47:2,89,15
36,12-5-17:18:47:3,89,15
37,12-5-17:18:47:4,88,85
38,12-5-17:18:47:5,88,24
39,12-5-17:18:47:6,88,24
40,12-5-17:18:47:7,88,43
41,12-5-17:18:47:8,89,78
42,12-5-17:18:47:9,88,61
33,12-5-17:18:47:10,88,15
44,12-5-17:18:48:1,89,15
45,12-5-17:18:48:2,89,13
46,12-5-17:18:48:3,89,16
47,12-5-17:18:48:4,88,10
48,12-5-17:18:48:5,88,15
49,12-5-17:18:48:6,89,15
50,12-5-17:18:48:7,88,58
51,12-5-17:18:48:8,89,39
52,12-5-17:18:48:9,89,15
43,12-5-17:18:48:10,88,20
54,12-5-17:18:49:1,89,10
55,12-5-17:18:49:2,88,15
56,12-5-17:18:49:3,88,15
57,12-5-17:18:49:4,89,9
58,12-5-17:18:49:5,88,10
59,12-5-17:18:49:6,88,24
60,12-5-17:18:49:7,89,47
61,12-5-17:18:49:8,88,66
62,12-5-17:18:49:9,88,21
53,12-5-17:18:49:10,88,24
64,12-5-17:18:50:1,88,9
65,12-5-17:18:50:2,88,18
66,12-5-17:18:50:3,88,10
67,12-5-17:18:50:4,88,15
68,12-5-17:18:50:5,88,10
69,12-5-17:18:50:6,88,9
70,12-5-17:18:50:7,88,9
71,12-5-17:18:50:8,88,17
72,12-5-17:18:50:9,88,15
63,12-5-17:18:50:10,88,11
74,12-5-17:18:51:1,88,11
75,12-5-17:18:51:2,88,12
76,12-5-17:18:51:3,88,10
77,12-5-17:18:51:4,88,9
78,12-5-17:18:51:5,88,12
79,12-5-17:18:51:6,88,64
80,12-5-17:18:51:7,88,21
81,12-5-17:18:51:8,88,9
82,12-5-17:18:51:9,88,13
73,12-5-17:18:51:10,88,12
84,12-5-17:18:52:1,88,9
85,12-5-17:18:52:2,88,12
86,12-5-17:18:52:3,88,9
87,12-5-17:18:52:4,88,18
88,12-5-17:18:52:5,88,13
89,12-5-17:18:52:6,88,15
90,12-5-17:18:52:7,88,9
91,12-5-17:18:52:8,87,12
92,12-5-17:18:52:9,87,11
83,12-5-17:18:52:10,88,9
