id,time,light,sound
2,12-5-17:24:48:1,137,15
4,12-5-17:24:49:1,136,32
3,12-5-17:24:49:2,135,11
6,12-5-17:24:49:3,141,19
7,12-5-17:24:49:4,143,14
8,12-5-17:24:49:5,144,19
9,12-5-17:24:49:6,145,11
10,12-5-17:24:49:7,142,22
11,12-5-17:24:49:8,137,16
12,12-5-17:24:49:9,129,15
14,12-5-17:24:50:1,121,27
15,12-5-17:24:50:2,122,14
16,12-5-17:24:50:3,126,19
17,12-5-17:24:50:4,133,10
18,12-5-17:24:50:5,140,30
19,12-5-17:24:50:6,148,16
20,12-5-17:24:50:7,151,17
21,12-5-17:24:50:8,153,15
22,12-5-17:24:50:9,155,10
13,12-5-17:24:50:10,119,14
24,12-5-17:24:51:1,157,12
25,12-5-17:24:51:2,158,12
26,12-5-17:24:51:3,159,12
27,12-5-17:24:51:4,158,24
28,12-5-17:24:51:5,160,15
29,12-5-17:24:51:6,161,15
30,12-5-17:24:51:7,162,15
31,12-5-17:24:51:8,163,12
32,12-5-17:24:51:9,164,19
23,12-5-17:24:51:10,157,20
34,12-5-17:24:52:1,162,11
35,12-5-17:24:52:2,162,19
36,12-5-17:24:52:3,161,15
37,12-5-17:24:52:4,158,13
38,12-5-17:24:52:5,157,15
39,12-5-17:24:52:6,157,9
40,12-5-17:24:52:7,159,17
41,12-5-17:24:52:8,160,13
42,12-5-17:24:52:9,163,12
33,12-5-17:24:52:10,163,15
44,12-5-17:24:53:1,167,11
45,12-5-17:24:53:2,167,15
46,12-5-17:24:53:3,166,15
47,12-5-17:24:53:4,165,17
48,12-5-17:24:53:5,164,11
49,12-5-17:24:53:6,162,15
50,12-5-17:24:53:7,161,11
51,12-5-17:24:53:8,159,10
52,12-5-17:24:53:9,161,10
43,12-5-17:24:53:10,166,14
54,12-5-17:24:54:1,166,22
55,12-5-17:24:54:2,168,14
56,12-5-17:24:54:3,168,13
57,12-5-17:24:54:4,168,10
58,12-5-17:24:54:5,167,13
59,12-5-17:24:54:6,166,14
60,12-5-17:24:54:7,165,16
61,12-5-17:24:54:8,162,10
62,12-5-17:24:54:9,160,22
53,12-5-17:24:54:10,163,17
64,12-5-17:24:55:1,161,15
65,12-5-17:24:55:2,163,11
66,12-5-17:24:55:3,166,19
67,12-5-17:24:55:4,168,25
68,12-5-17:24:55:5,168,12
69,12-5-17:24:55:6,168,17
70,12-5-17:24:55:7,167,18
71,12-5-17:24:55:8,166,11
72,12-5-17:24:55:9,163,12
63,12-5-17:24:55:10,160,11
