id,time,light,sound
2,12-5-17:24:51:1,17,11
4,12-5-17:24:52:1,17,10
3,12-5-17:24:52:2,17,9
6,12-5-17:24:52:3,17,10
7,12-5-17:24:52:4,18,11
8,12-5-17:24:52:5,17,14
9,12-5-17:24:52:6,17,9
10,12-5-17:24:52:7,17,26
11,12-5-17:24:52:8,17,9
12,12-5-17:24:52:9,17,11
14,12-5-17:24:53:1,17,9
15,12-5-17:24:53:2,17,10
16,12-5-17:24:53:3,17,9
17,12-5-17:24:53:4,17,8
18,12-5-17:24:53:5,17,9
19,12-5-17:24:53:6,17,11
20,12-5-17:24:53:7,17,11
21,12-5-17:24:53:8,16,12
22,12-5-17:24:53:9,17,8
13,12-5-17:24:53:10,16,14
24,12-5-17:24:54:1,17,9
25,12-5-17:24:54:2,17,10
26,12-5-17:24:54:3,17,9
27,12-5-17:24:54:4,17,10
28,12-5-17:24:54:5,17,14
29,12-5-17:24:54:6,17,8
30,12-5-17:24:54:7,16,13
31,12-5-17:24:54:8,17,9
32,12-5-17:24:54:9,17,9
23,12-5-17:24:54:10,16,12
34,12-5-17:24:55:1,17,11
35,12-5-17:24:55:2,17,8
36,12-5-17:24:55:3,17,8
37,12-5-17:24:55:4,16,10
38,12-5-17:24:55:5,17,11
39,12-5-17:24:55:6,17,9
40,12-5-17:24:55:7,17,14
41,12-5-17:24:55:8,17,10
42,12-5-17:24:55:9,17,10
33,12-5-17:24:55:10,17,10
44,12-5-17:24:56:1,17,10
45,12-5-17:24:56:2,17,9
46,12-5-17:24:56:3,17,12
47,12-5-17:24:56:4,17,9
48,12-5-17:24:56:5,16,9
49,12-5-17:24:56:6,17,9
50,12-5-17:24:56:7,16,11
51,12-5-17:24:56:8,17,10
52,12-5-17:24:56:9,16,8
43,12-5-17:24:56:10,17,10
54,12-5-17:24:57:1,16,11
55,12-5-17:24:57:2,17,12
56,12-5-17:24:57:3,16,10
57,12-5-17:24:57:4,17,10
58,12-5-17:24:57:5,17,9
59,12-5-17:24:57:6,17,7
60,12-5-17:24:57:7,17,8
61,12-5-17:24:57:8,17,11
62,12-5-17:24:57:9,17,10
53,12-5-17:24:57:10,17,10
64,12-5-17:24:58:1,16,9
65,12-5-17:24:58:2,17,12
66,12-5-17:24:58:3,17,9
67,12-5-17:24:58:4,16,10
68,12-5-17:24:58:5,18,9
69,12-5-17:24:58:6,16,9
70,12-5-17:24:58:7,17,8
71,12-5-17:24:58:8,17,10
72,12-5-17:24:58:9,17,9
63,12-5-17:24:58:10,17,9
74,12-5-17:24:59:1,17,10
75,12-5-17:24:59:2,17,9
76,12-5-17:24:59:3,16,9
77,12-5-17:24:59:4,16,8
78,12-5-17:24:59:5,17,10
79,12-5-17:24:59:6,16,9
80,12-5-17:24:59:7,17,10
81,12-5-17:24:59:8,18,13
82,12-5-17:24:59:9,17,8
73,12-5-17:24:59:10,16,10
84,12-5-17:25:0:1,17,13
85,12-5-17:25:0:2,17,10
86,12-5-17:25:0:3,17,10
87,12-5-17:25:0:4,17,10
88,12-5-17:25:0:5,16,8
89,12-5-17:25:0:6,16,11
90,12-5-17:25:0:7,16,9
91,12-5-17:25:0:8,16,10
92,12-5-17:25:0:9,16,16
83,12-5-17:25:0:10,17,10
94,12-5-17:25:1:1,16,16
95,12-5-17:25:1:2,17,9
96,12-5-17:25:1:3,17,9
97,12-5-17:25:1:4,17,11
98,12-5-17:25:1:5,17,11
99,12-5-17:25:1:6,17,11
100,12-5-17:25:1:7,18,8
101,12-5-17:25:1:8,18,9
102,12-5-17:25:1:9,18,10
93,12-5-17:25:1:10,17,12
104,12-5-17:25:2:1,18,11
105,12-5-17:25:2:2,17,14
106,12-5-17:25:2:3,18,10
107,12-5-17:25:2:4,18,8
108,12-5-17:25:2:5,16,13
109,12-5-17:25:2:6,17,11
110,12-5-17:25:2:7,18,16
111,12-5-17:25:2:8,17,8
112,12-5-17:25:2:9,17,8
103,12-5-17:25:2:10,17,12
114,12-5-17:25:3:1,18,9
115,12-5-17:25:3:2,19,12
116,12-5-17:25:3:3,18,9
117,12-5-17:25:3:4,18,12
118,12-5-17:25:3:5,17,12
119,12-5-17:25:3:6,18,9
120,12-5-17:25:3:7,18,9
121,12-5-17:25:3:8,18,11
122,12-5-17:25:3:9,18,9
113,12-5-17:25:3:10,18,9
124,12-5-17:25:4:1,17,8
125,12-5-17:25:4:2,18,9
