id,time,light,sound
2,12-5-17:24:29:1,59,23
3,12-5-17:24:29:2,59,14
4,12-5-17:24:29:3,59,14
5,12-5-17:24:29:4,59,22
7,12-5-17:24:30:1,59,10
8,12-5-17:24:30:2,58,11
9,12-5-17:24:30:3,58,10
10,12-5-17:24:30:4,59,10
6,12-5-17:24:30:5,58,13
12,12-5-17:24:30:6,58,15
13,12-5-17:24:30:7,59,12
14,12-5-17:24:30:8,59,14
15,12-5-17:24:30:9,59,13
17,12-5-17:24:31:1,59,14
18,12-5-17:24:31:2,58,14
19,12-5-17:24:31:3,59,9
20,12-5-17:24:31:4,59,10
21,12-5-17:24:31:5,59,23
22,12-5-17:24:31:6,59,10
23,12-5-17:24:31:7,59,14
24,12-5-17:24:31:8,59,27
25,12-5-17:24:31:9,58,9
16,12-5-17:24:31:10,59,16
27,12-5-17:24:32:1,59,18
28,12-5-17:24:32:2,58,15
29,12-5-17:24:32:3,59,9
30,12-5-17:24:32:4,59,16
31,12-5-17:24:32:5,59,14
32,12-5-17:24:32:6,59,14
33,12-5-17:24:32:7,59,15
34,12-5-17:24:32:8,58,14
35,12-5-17:24:32:9,58,26
26,12-5-17:24:32:10,58,17
37,12-5-17:24:33:1,59,14
38,12-5-17:24:33:2,58,23
39,12-5-17:24:33:3,59,12
40,12-5-17:24:33:4,58,23
41,12-5-17:24:33:5,58,26
42,12-5-17:24:33:6,58,19
43,12-5-17:24:33:7,59,12
44,12-5-17:24:33:8,58,11
45,12-5-17:24:33:9,58,14
36,12-5-17:24:33:10,58,18
47,12-5-17:24:34:1,58,18
48,12-5-17:24:34:2,58,9
49,12-5-17:24:34:3,58,15
50,12-5-17:24:34:4,58,12
51,12-5-17:24:34:5,58,13
52,12-5-17:24:34:6,58,10
53,12-5-17:24:34:7,58,14
54,12-5-17:24:34:8,58,27
55,12-5-17:24:34:9,58,26
46,12-5-17:24:34:10,58,15
57,12-5-17:24:35:1,58,19
58,12-5-17:24:35:2,58,28
59,12-5-17:24:35:3,58,21
60,12-5-17:24:35:4,58,10
61,12-5-17:24:35:5,58,12
62,12-5-17:24:35:6,58,10
63,12-5-17:24:35:7,58,18
64,12-5-17:24:35:8,58,13
65,12-5-17:24:35:9,58,13
56,12-5-17:24:35:10,58,28
67,12-5-17:24:36:1,58,15
68,12-5-17:24:36:2,57,9
69,12-5-17:24:36:3,57,9
70,12-5-17:24:36:4,58,10
71,12-5-17:24:36:5,58,18
72,12-5-17:24:36:6,58,17
73,12-5-17:24:36:7,58,14
74,12-5-17:24:36:8,58,13
75,12-5-17:24:36:9,58,11
66,12-5-17:24:36:10,58,15
77,12-5-17:24:37:1,58,15
78,12-5-17:24:37:2,58,17
79,12-5-17:24:37:3,57,9
80,12-5-17:24:37:4,57,12
81,12-5-17:24:37:5,57,11
82,12-5-17:24:37:6,57,19
83,12-5-17:24:37:7,57,14
84,12-5-17:24:37:8,56,14
85,12-5-17:24:37:9,56,13
76,12-5-17:24:37:10,58,9
87,12-5-17:24:38:1,56,11
88,12-5-17:24:38:2,56,21
89,12-5-17:24:38:3,56,16
90,12-5-17:24:38:4,56,11
91,12-5-17:24:38:5,56,15
92,12-5-17:24:38:6,56,12
93,12-5-17:24:38:7,56,11
94,12-5-17:24:38:8,56,9
95,12-5-17:24:38:9,56,17
86,12-5-17:24:38:10,57,16
97,12-5-17:24:39:1,56,25
98,12-5-17:24:39:2,56,17
99,12-5-17:24:39:3,56,12
100,12-5-17:24:39:4,56,19
101,12-5-17:24:39:5,56,17
102,12-5-17:24:39:6,57,11
103,12-5-17:24:39:7,57,14
104,12-5-17:24:39:8,57,26
105,12-5-17:24:39:9,56,16
96,12-5-17:24:39:10,56,14
107,12-5-17:24:40:1,56,12
108,12-5-17:24:40:2,56,10
109,12-5-17:24:40:3,54,27
110,12-5-17:24:40:4,53,15
111,12-5-17:24:40:5,51,15
112,12-5-17:24:40:6,49,21
113,12-5-17:24:40:7,48,10
114,12-5-17:24:40:8,42,19
115,12-5-17:24:40:9,43,23
106,12-5-17:24:40:10,57,11
117,12-5-17:24:41:1,46,12
118,12-5-17:24:41:2,46,10
119,12-5-17:24:41:3,47,13
120,12-5-17:24:41:4,47,17
121,12-5-17:24:41:5,47,14
122,12-5-17:24:41:6,47,18
123,12-5-17:24:41:7,47,21
124,12-5-17:24:41:8,47,34
125,12-5-17:24:41:9,47,13
116,12-5-17:24:41:10,44,15
127,12-5-17:24:42:1,50,12
128,12-5-17:24:42:2,53,20
129,12-5-17:24:42:3,54,11
130,12-5-17:24:42:4,54,15
131,12-5-17:24:42:5,54,30
132,12-5-17:24:42:6,54,16
133,12-5-17:24:42:7,54,14
